FacilityNPI,Organisationid,SNo,ServiceCode,DiagnosisTestorServiceName,OrganisationPrices,FacilityPrices
500,ORG-277,1,S-1,2D Echo,120,500
500,ORG-277,2,S-2,4D Scan,234,600
500,ORG-277,3,S-3,ACTH (Adreno Corticotropic Hormone) Test,4354,700
500,ORG-277,4,S-4,Adenosine Deaminase Test,355,800
500,ORG-277,5,S-5,AEC (Absolute Eosinophil Count) Test,455,900
501,ORG-277,6,S-6,AFB (Acid Fast Bacilli) Culture Test,322,1000
501,ORG-277,7,S-7,AFP (Alpha Feto Protein) Test,780,1100
501,ORG-277,8,S-8,Alberts Stain,6767,1200
501,ORG-277,9,S-9,Albumin Test,900,1300
501,ORG-277,10,S-10,Aldolase Test,567,1400
